id,discovery_source_id,raw_text,raw_url,language,country,metadata_json,confidence,status,collected_at,processed_at,created_at,updated_at
42627,14,Pflegefachfrau,,de,DE,"{'priority': 96, 'entity_type_hint': 'profession'}",96,new,2026-07-16 04:11:15.386292+00:00,,2026-07-16 04:11:15.363378+00:00,2026-07-16 04:11:15.363378+00:00
42628,14,Pflegefachmann,,de,DE,"{'priority': 96, 'entity_type_hint': 'profession'}",96,new,2026-07-16 04:11:15.386292+00:00,,2026-07-16 04:11:15.363378+00:00,2026-07-16 04:11:15.363378+00:00
42629,14,Krankenpfleger,,de,DE,"{'priority': 95, 'entity_type_hint': 'profession'}",95,new,2026-07-16 04:11:15.386292+00:00,,2026-07-16 04:11:15.363378+00:00,2026-07-16 04:11:15.363378+00:00
42630,14,Krankenschwester,,de,DE,"{'priority': 95, 'entity_type_hint': 'profession'}",95,new,2026-07-16 04:11:15.386292+00:00,,2026-07-16 04:11:15.363378+00:00,2026-07-16 04:11:15.363378+00:00
42631,14,Altenpfleger,,de,DE,"{'priority': 94, 'entity_type_hint': 'profession'}",94,new,2026-07-16 04:11:15.386292+00:00,,2026-07-16 04:11:15.363378+00:00,2026-07-16 04:11:15.363378+00:00
42632,14,Arzt,,de,DE,"{'priority': 90, 'entity_type_hint': 'profession'}",90,new,2026-07-16 04:11:15.386292+00:00,,2026-07-16 04:11:15.363378+00:00,2026-07-16 04:11:15.363378+00:00
42633,14,Zahnarzt,,de,DE,"{'priority': 85, 'entity_type_hint': 'profession'}",85,new,2026-07-16 04:11:15.386292+00:00,,2026-07-16 04:11:15.363378+00:00,2026-07-16 04:11:15.363378+00:00
42634,14,Apotheker,,de,DE,"{'priority': 82, 'entity_type_hint': 'profession'}",82,new,2026-07-16 04:11:15.386292+00:00,,2026-07-16 04:11:15.363378+00:00,2026-07-16 04:11:15.363378+00:00
42635,14,Physiotherapeut,,de,DE,"{'priority': 84, 'entity_type_hint': 'profession'}",84,new,2026-07-16 04:11:15.386292+00:00,,2026-07-16 04:11:15.363378+00:00,2026-07-16 04:11:15.363378+00:00
42636,14,Ergotherapeut,,de,DE,"{'priority': 80, 'entity_type_hint': 'profession'}",80,new,2026-07-16 04:11:15.386292+00:00,,2026-07-16 04:11:15.363378+00:00,2026-07-16 04:11:15.363378+00:00
42637,14,Logopäde,,de,DE,"{'priority': 78, 'entity_type_hint': 'profession'}",78,new,2026-07-16 04:11:15.386292+00:00,,2026-07-16 04:11:15.363378+00:00,2026-07-16 04:11:15.363378+00:00
42638,14,Hebamme,,de,DE,"{'priority': 88, 'entity_type_hint': 'profession'}",88,new,2026-07-16 04:11:15.386292+00:00,,2026-07-16 04:11:15.363378+00:00,2026-07-16 04:11:15.363378+00:00
42639,14,Notfallsanitäter,,de,DE,"{'priority': 86, 'entity_type_hint': 'profession'}",86,new,2026-07-16 04:11:15.386292+00:00,,2026-07-16 04:11:15.363378+00:00,2026-07-16 04:11:15.363378+00:00
42640,14,Rettungssanitäter,,de,DE,"{'priority': 84, 'entity_type_hint': 'profession'}",84,new,2026-07-16 04:11:15.386292+00:00,,2026-07-16 04:11:15.363378+00:00,2026-07-16 04:11:15.363378+00:00
42641,14,Fachinformatiker,,de,DE,"{'priority': 92, 'entity_type_hint': 'profession'}",92,new,2026-07-16 04:11:15.386292+00:00,,2026-07-16 04:11:15.363378+00:00,2026-07-16 04:11:15.363378+00:00
42642,14,Softwareentwickler,,de,DE,"{'priority': 90, 'entity_type_hint': 'profession'}",90,new,2026-07-16 04:11:15.386292+00:00,,2026-07-16 04:11:15.363378+00:00,2026-07-16 04:11:15.363378+00:00
42643,14,IT-Administrator,,de,DE,"{'priority': 85, 'entity_type_hint': 'profession'}",85,new,2026-07-16 04:11:15.386292+00:00,,2026-07-16 04:11:15.363378+00:00,2026-07-16 04:11:15.363378+00:00
42644,14,Elektroniker,,de,DE,"{'priority': 82, 'entity_type_hint': 'profession'}",82,new,2026-07-16 04:11:15.386292+00:00,,2026-07-16 04:11:15.363378+00:00,2026-07-16 04:11:15.363378+00:00
42645,14,Mechatroniker,,de,DE,"{'priority': 80, 'entity_type_hint': 'profession'}",80,new,2026-07-16 04:11:15.386292+00:00,,2026-07-16 04:11:15.363378+00:00,2026-07-16 04:11:15.363378+00:00
42646,14,Industriemechaniker,,de,DE,"{'priority': 78, 'entity_type_hint': 'profession'}",78,new,2026-07-16 04:11:15.386292+00:00,,2026-07-16 04:11:15.363378+00:00,2026-07-16 04:11:15.363378+00:00
42647,14,Tischler,,de,DE,"{'priority': 75, 'entity_type_hint': 'profession'}",75,new,2026-07-16 04:11:15.386292+00:00,,2026-07-16 04:11:15.363378+00:00,2026-07-16 04:11:15.363378+00:00
42648,14,Maler,,de,DE,"{'priority': 72, 'entity_type_hint': 'profession'}",72,new,2026-07-16 04:11:15.386292+00:00,,2026-07-16 04:11:15.363378+00:00,2026-07-16 04:11:15.363378+00:00
42649,14,Dachdecker,,de,DE,"{'priority': 70, 'entity_type_hint': 'profession'}",70,new,2026-07-16 04:11:15.386292+00:00,,2026-07-16 04:11:15.363378+00:00,2026-07-16 04:11:15.363378+00:00
42650,14,Zimmerer,,de,DE,"{'priority': 70, 'entity_type_hint': 'profession'}",70,new,2026-07-16 04:11:15.386292+00:00,,2026-07-16 04:11:15.363378+00:00,2026-07-16 04:11:15.363378+00:00
42651,14,Maurer,,de,DE,"{'priority': 68, 'entity_type_hint': 'profession'}",68,new,2026-07-16 04:11:15.386292+00:00,,2026-07-16 04:11:15.363378+00:00,2026-07-16 04:11:15.363378+00:00
42652,14,Fliesenleger,,de,DE,"{'priority': 68, 'entity_type_hint': 'profession'}",68,new,2026-07-16 04:11:15.386292+00:00,,2026-07-16 04:11:15.363378+00:00,2026-07-16 04:11:15.363378+00:00
42653,14,Installateur,,de,DE,"{'priority': 72, 'entity_type_hint': 'profession'}",72,new,2026-07-16 04:11:15.386292+00:00,,2026-07-16 04:11:15.363378+00:00,2026-07-16 04:11:15.363378+00:00
42654,14,Elektriker,,de,DE,"{'priority': 74, 'entity_type_hint': 'profession'}",74,new,2026-07-16 04:11:15.386292+00:00,,2026-07-16 04:11:15.363378+00:00,2026-07-16 04:11:15.363378+00:00
42655,14,Kfz-Mechatroniker,,de,DE,"{'priority': 76, 'entity_type_hint': 'profession'}",76,new,2026-07-16 04:11:15.386292+00:00,,2026-07-16 04:11:15.363378+00:00,2026-07-16 04:11:15.363378+00:00
42656,14,Landwirt,,de,DE,"{'priority': 65, 'entity_type_hint': 'profession'}",65,new,2026-07-16 04:11:15.386292+00:00,,2026-07-16 04:11:15.363378+00:00,2026-07-16 04:11:15.363378+00:00
42657,14,Gärtner,,de,DE,"{'priority': 68, 'entity_type_hint': 'profession'}",68,new,2026-07-16 04:11:15.386292+00:00,,2026-07-16 04:11:15.363378+00:00,2026-07-16 04:11:15.363378+00:00
42658,14,Florist,,de,DE,"{'priority': 62, 'entity_type_hint': 'profession'}",62,new,2026-07-16 04:11:15.386292+00:00,,2026-07-16 04:11:15.363378+00:00,2026-07-16 04:11:15.363378+00:00
42659,14,Bäcker,,de,DE,"{'priority': 66, 'entity_type_hint': 'profession'}",66,new,2026-07-16 04:11:15.386292+00:00,,2026-07-16 04:11:15.363378+00:00,2026-07-16 04:11:15.363378+00:00
42660,14,Konditor,,de,DE,"{'priority': 64, 'entity_type_hint': 'profession'}",64,new,2026-07-16 04:11:15.386292+00:00,,2026-07-16 04:11:15.363378+00:00,2026-07-16 04:11:15.363378+00:00
42661,14,Fleischer,,de,DE,"{'priority': 62, 'entity_type_hint': 'profession'}",62,new,2026-07-16 04:11:15.386292+00:00,,2026-07-16 04:11:15.363378+00:00,2026-07-16 04:11:15.363378+00:00
42662,14,Koch,,de,DE,"{'priority': 74, 'entity_type_hint': 'profession'}",74,new,2026-07-16 04:11:15.386292+00:00,,2026-07-16 04:11:15.363378+00:00,2026-07-16 04:11:15.363378+00:00
42663,14,Hotelfachmann,,de,DE,"{'priority': 68, 'entity_type_hint': 'profession'}",68,new,2026-07-16 04:11:15.386292+00:00,,2026-07-16 04:11:15.363378+00:00,2026-07-16 04:11:15.363378+00:00
42664,14,Restaurantfachmann,,de,DE,"{'priority': 66, 'entity_type_hint': 'profession'}",66,new,2026-07-16 04:11:15.386292+00:00,,2026-07-16 04:11:15.363378+00:00,2026-07-16 04:11:15.363378+00:00
42665,14,Bürokaufmann,,de,DE,"{'priority': 70, 'entity_type_hint': 'profession'}",70,new,2026-07-16 04:11:15.386292+00:00,,2026-07-16 04:11:15.363378+00:00,2026-07-16 04:11:15.363378+00:00
42666,14,Industriekaufmann,,de,DE,"{'priority': 68, 'entity_type_hint': 'profession'}",68,new,2026-07-16 04:11:15.386292+00:00,,2026-07-16 04:11:15.363378+00:00,2026-07-16 04:11:15.363378+00:00
42667,14,Speditionskaufmann,,de,DE,"{'priority': 64, 'entity_type_hint': 'profession'}",64,new,2026-07-16 04:11:15.386292+00:00,,2026-07-16 04:11:15.363378+00:00,2026-07-16 04:11:15.363378+00:00
42668,14,Großhandelskaufmann,,de,DE,"{'priority': 62, 'entity_type_hint': 'profession'}",62,new,2026-07-16 04:11:15.386292+00:00,,2026-07-16 04:11:15.363378+00:00,2026-07-16 04:11:15.363378+00:00
42669,14,Bankkaufmann,,de,DE,"{'priority': 65, 'entity_type_hint': 'profession'}",65,new,2026-07-16 04:11:15.386292+00:00,,2026-07-16 04:11:15.363378+00:00,2026-07-16 04:11:15.363378+00:00
42670,14,Versicherungskaufmann,,de,DE,"{'priority': 63, 'entity_type_hint': 'profession'}",63,new,2026-07-16 04:11:15.386292+00:00,,2026-07-16 04:11:15.363378+00:00,2026-07-16 04:11:15.363378+00:00
42671,14,Steuerberater,,de,DE,"{'priority': 78, 'entity_type_hint': 'profession'}",78,new,2026-07-16 04:11:15.386292+00:00,,2026-07-16 04:11:15.363378+00:00,2026-07-16 04:11:15.363378+00:00
